Mstar(Msol)	UV(G0)	Mdisc(Mjup)	SigmaDisc(g/cm^2)	Rdisc (AU)	log10Mdot(Msol/yr)
   5.0000000000000003E-002   10.000000000000000        5.2399896382353935E-002   4.4205445986362677E-004   400.00000000000000       -8.7556208697452984     
   5.0000000000000003E-002   10.000000000000000        4.5849909334559694E-002   5.0520509698700198E-004   350.00000000000000       -8.7680157810155652     
   5.0000000000000003E-002   10.000000000000000        3.9299922286765453E-002   5.8940594648483570E-004   300.00000000000000       -8.7682782229690037     
   5.0000000000000003E-002   10.000000000000000        3.2749935238971212E-002   7.0728713578180281E-004   250.00000000000000       -8.7415515083239423     
   5.0000000000000003E-002   10.000000000000000        2.6199948191176967E-002   8.8410891972725354E-004   200.00000000000000       -8.7265773031325278     
   5.0000000000000003E-002   10.000000000000000        1.9649961143382726E-002   1.1788118929696714E-003   150.00000000000000       -8.7061235394601812     
   5.0000000000000003E-002   10.000000000000000        1.3099974095588484E-002   1.7682178394545071E-003   100.00000000000000       -8.6737070514983969     
   5.0000000000000003E-002   10.000000000000000        9.8249805716913632E-003   2.3576237859393428E-003   75.000000000000000       -8.6625380097630842     
   5.0000000000000003E-002   10.000000000000000        6.5499870477942418E-003   3.5364356789090142E-003   50.000000000000000       -8.6785117450772891     
   5.0000000000000003E-002   10.000000000000000        5.2399896382353938E-003   4.4205445986362675E-003   40.000000000000000       -8.7011905219444010     
   5.0000000000000003E-002   10.000000000000000        3.9299922286765449E-003   5.8940594648483570E-003   30.000000000000000       -8.7363936622418183     
   5.0000000000000003E-002   10.000000000000000        2.6199948191176969E-003   8.8410891972725350E-003   20.000000000000000       -9.0536152658410991     
   5.0000000000000003E-002   10.000000000000000        1.3099974095588485E-003   1.7682178394545070E-002   10.000000000000000       -10.000000000000000     
   5.0000000000000003E-002   10.000000000000000        6.5499870477942423E-004   3.5364356789090140E-002   5.0000000000000000       -10.000000000000000     
   5.0000000000000003E-002   10.000000000000000        1.3099974095588483E-004  0.17682178394545070        1.0000000000000000       -10.000000000000000     
   5.0000000000000003E-002   10.000000000000000       0.58584865162444344        4.9423191100601083E-003   400.00000000000000       -7.7322290006195775     
   5.0000000000000003E-002   10.000000000000000       0.51261757017138809        5.6483646972115527E-003   350.00000000000000       -7.7277720371326781     
   5.0000000000000003E-002   10.000000000000000       0.43938648871833252        6.5897588134134783E-003   300.00000000000000       -7.7005388731132536     
   5.0000000000000003E-002   10.000000000000000       0.36615540726527712        7.9077105760961726E-003   250.00000000000000       -7.6891740115137974     
   5.0000000000000003E-002   10.000000000000000       0.29292432581222172        9.8846382201202166E-003   200.00000000000000       -7.6826209490623292     
   5.0000000000000003E-002   10.000000000000000       0.21969324435916626        1.3179517626826957E-002   150.00000000000000       -7.6739581587861529     
   5.0000000000000003E-002   10.000000000000000       0.14646216290611086        1.9769276440240433E-002   100.00000000000000       -7.7115899986150520     
   5.0000000000000003E-002   10.000000000000000       0.10984662217958313        2.6359035253653913E-002   75.000000000000000       -7.7022469154988196     
   5.0000000000000003E-002   10.000000000000000        7.3231081453055430E-002   3.9538552880480866E-002   50.000000000000000       -7.6574318853446481     
   5.0000000000000003E-002   10.000000000000000        5.8584865162444349E-002   4.9423191100601088E-002   40.000000000000000       -7.6312232759043557     
   5.0000000000000003E-002   10.000000000000000        4.3938648871833262E-002   6.5897588134134780E-002   30.000000000000000       -7.5991863797637436     
   5.0000000000000003E-002   10.000000000000000        2.9292432581222175E-002   9.8846382201202176E-002   20.000000000000000       -7.5828269721978865     
   5.0000000000000003E-002   10.000000000000000        1.4646216290611087E-002  0.19769276440240435        10.000000000000000       -9.7473512287854263     
   5.0000000000000003E-002   10.000000000000000        7.3231081453055437E-003  0.39538552880480871        5.0000000000000000       -10.000000000000000     
   5.0000000000000003E-002   10.000000000000000        1.4646216290611087E-003   1.9769276440240433        1.0000000000000000       -10.000000000000000     
   5.0000000000000003E-002   10.000000000000000        1.6570302172505571        1.3978989430045462E-002   400.00000000000000       -7.2718845183605598     
   5.0000000000000003E-002   10.000000000000000        1.4499014400942374        1.5975987920051955E-002   350.00000000000000       -7.2561000818141475     
   5.0000000000000003E-002   10.000000000000000        1.2427726629379179        1.8638652573393949E-002   300.00000000000000       -7.2411258699467682     
   5.0000000000000003E-002   10.000000000000000        1.0356438857815982        2.2366383088072737E-002   250.00000000000000       -7.2365281693897110     
   5.0000000000000003E-002   10.000000000000000       0.82851510862527855        2.7957978860090923E-002   200.00000000000000       -7.2451739797371202     
   5.0000000000000003E-002   10.000000000000000       0.62138633146895894        3.7277305146787898E-002   150.00000000000000       -7.2623236170831102     
   5.0000000000000003E-002   10.000000000000000       0.41425755431263928        5.5915957720181847E-002   100.00000000000000       -7.2283772148836256     
   5.0000000000000003E-002   10.000000000000000       0.31069316573447947        7.4554610293575796E-002   75.000000000000000       -7.2017965796898480     
   5.0000000000000003E-002   10.000000000000000       0.20712877715631964       0.11183191544036369        50.000000000000000       -7.1658867802189734     
   5.0000000000000003E-002   10.000000000000000       0.16570302172505569       0.13978989430045460        40.000000000000000       -7.1526816987407713     
   5.0000000000000003E-002   10.000000000000000       0.12427726629379178       0.18638652573393949        30.000000000000000       -7.1287981602707813     
   5.0000000000000003E-002   10.000000000000000        8.2851510862527844E-002  0.27957978860090921        20.000000000000000       -7.1148738052199310     
   5.0000000000000003E-002   10.000000000000000        4.1425755431263922E-002  0.55915957720181841        10.000000000000000       -9.5522035634602336     
   5.0000000000000003E-002   10.000000000000000        2.0712877715631961E-002   1.1183191544036368        5.0000000000000000       -10.000000000000000     
